"","term","gene"
"1","HALLMARK_ADIPOGENESIS","19"
"2","HALLMARK_ADIPOGENESIS","11194"
"3","HALLMARK_ADIPOGENESIS","10449"
"4","HALLMARK_ADIPOGENESIS","33"
"5","HALLMARK_ADIPOGENESIS","34"
"6","HALLMARK_ADIPOGENESIS","35"
"7","HALLMARK_ADIPOGENESIS","47"
"8","HALLMARK_ADIPOGENESIS","50"
"9","HALLMARK_ADIPOGENESIS","51"
"10","HALLMARK_ADIPOGENESIS","112"
"11","HALLMARK_ADIPOGENESIS","149685"
"12","HALLMARK_ADIPOGENESIS","9370"
"13","HALLMARK_ADIPOGENESIS","79602"
"14","HALLMARK_ADIPOGENESIS","79602"
"15","HALLMARK_ADIPOGENESIS","56894"
"16","HALLMARK_ADIPOGENESIS","9131"
"17","HALLMARK_ADIPOGENESIS","204"
"18","HALLMARK_ADIPOGENESIS","217"
"19","HALLMARK_ADIPOGENESIS","226"
"20","HALLMARK_ADIPOGENESIS","284"
"21","HALLMARK_ADIPOGENESIS","51129"
"22","HALLMARK_ADIPOGENESIS","334"
"23","HALLMARK_ADIPOGENESIS","348"
"24","HALLMARK_ADIPOGENESIS","369"
"25","HALLMARK_ADIPOGENESIS","10124"
"26","HALLMARK_ADIPOGENESIS","64225"
"27","HALLMARK_ADIPOGENESIS","483"
"28","HALLMARK_ADIPOGENESIS","539"
"29","HALLMARK_ADIPOGENESIS","11176"
"30","HALLMARK_ADIPOGENESIS","593"
"31","HALLMARK_ADIPOGENESIS","23786"
"32","HALLMARK_ADIPOGENESIS","604"
"33","HALLMARK_ADIPOGENESIS","718"
"34","HALLMARK_ADIPOGENESIS","847"
"35","HALLMARK_ADIPOGENESIS","284119"
"36","HALLMARK_ADIPOGENESIS","8436"
"37","HALLMARK_ADIPOGENESIS","901"
"38","HALLMARK_ADIPOGENESIS","977"
"39","HALLMARK_ADIPOGENESIS","9936"
"40","HALLMARK_ADIPOGENESIS","948"
"41","HALLMARK_ADIPOGENESIS","1031"
"42","HALLMARK_ADIPOGENESIS","400916"
"43","HALLMARK_ADIPOGENESIS","400916"
"44","HALLMARK_ADIPOGENESIS","400916"
"45","HALLMARK_ADIPOGENESIS","1147"
"46","HALLMARK_ADIPOGENESIS","1149"
"47","HALLMARK_ADIPOGENESIS","134147"
"48","HALLMARK_ADIPOGENESIS","51727"
"49","HALLMARK_ADIPOGENESIS","1306"
"50","HALLMARK_ADIPOGENESIS","1282"
"51","HALLMARK_ADIPOGENESIS","51805"
"52","HALLMARK_ADIPOGENESIS","84274"
"53","HALLMARK_ADIPOGENESIS","57017"
"54","HALLMARK_ADIPOGENESIS","1337"
"55","HALLMARK_ADIPOGENESIS","1349"
"56","HALLMARK_ADIPOGENESIS","1351"
"57","HALLMARK_ADIPOGENESIS","1376"
"58","HALLMARK_ADIPOGENESIS","1384"
"59","HALLMARK_ADIPOGENESIS","1431"
"60","HALLMARK_ADIPOGENESIS","1537"
"61","HALLMARK_ADIPOGENESIS","1580"
"62","HALLMARK_ADIPOGENESIS","1629"
"63","HALLMARK_ADIPOGENESIS","1652"
"64","HALLMARK_ADIPOGENESIS","1652"
"65","HALLMARK_ADIPOGENESIS","1666"
"66","HALLMARK_ADIPOGENESIS","8694"
"67","HALLMARK_ADIPOGENESIS","8694"
"68","HALLMARK_ADIPOGENESIS","8694"
"69","HALLMARK_ADIPOGENESIS","1717"
"70","HALLMARK_ADIPOGENESIS","51635"
"71","HALLMARK_ADIPOGENESIS","25979"
"72","HALLMARK_ADIPOGENESIS","1737"
"73","HALLMARK_ADIPOGENESIS","1738"
"74","HALLMARK_ADIPOGENESIS","4189"
"75","HALLMARK_ADIPOGENESIS","29103"
"76","HALLMARK_ADIPOGENESIS","128338"
"77","HALLMARK_ADIPOGENESIS","1891"
"78","HALLMARK_ADIPOGENESIS","1891"
"79","HALLMARK_ADIPOGENESIS","1892"
"80","HALLMARK_ADIPOGENESIS","84173"
"81","HALLMARK_ADIPOGENESIS","79071"
"82","HALLMARK_ADIPOGENESIS","5168"
"83","HALLMARK_ADIPOGENESIS","2053"
"84","HALLMARK_ADIPOGENESIS","2101"
"85","HALLMARK_ADIPOGENESIS","23344"
"86","HALLMARK_ADIPOGENESIS","2109"
"87","HALLMARK_ADIPOGENESIS","2167"
"88","HALLMARK_ADIPOGENESIS","2184"
"89","HALLMARK_ADIPOGENESIS","8322"
"90","HALLMARK_ADIPOGENESIS","9908"
"91","HALLMARK_ADIPOGENESIS","1647"
"92","HALLMARK_ADIPOGENESIS","2632"
"93","HALLMARK_ADIPOGENESIS","27069"
"94","HALLMARK_ADIPOGENESIS","57678"
"95","HALLMARK_ADIPOGENESIS","137964"
"96","HALLMARK_ADIPOGENESIS","2820"
"97","HALLMARK_ADIPOGENESIS","10243"
"98","HALLMARK_ADIPOGENESIS","2878"
"99","HALLMARK_ADIPOGENESIS","2879"
"100","HALLMARK_ADIPOGENESIS","80273"
"101","HALLMARK_ADIPOGENESIS","3033"
"102","HALLMARK_ADIPOGENESIS","26275"
"103","HALLMARK_ADIPOGENESIS","26353"
"104","HALLMARK_ADIPOGENESIS","3417"
"105","HALLMARK_ADIPOGENESIS","3419"
"106","HALLMARK_ADIPOGENESIS","3421"
"107","HALLMARK_ADIPOGENESIS","3459"
"108","HALLMARK_ADIPOGENESIS","10989"
"109","HALLMARK_ADIPOGENESIS","3679"
"110","HALLMARK_ADIPOGENESIS","80760"
"111","HALLMARK_ADIPOGENESIS","6453"
"112","HALLMARK_ADIPOGENESIS","84522"
"113","HALLMARK_ADIPOGENESIS","3910"
"114","HALLMARK_ADIPOGENESIS","3952"
"115","HALLMARK_ADIPOGENESIS","3977"
"116","HALLMARK_ADIPOGENESIS","3991"
"117","HALLMARK_ADIPOGENESIS","10162"
"118","HALLMARK_ADIPOGENESIS","4023"
"119","HALLMARK_ADIPOGENESIS","4056"
"120","HALLMARK_ADIPOGENESIS","4056"
"121","HALLMARK_ADIPOGENESIS","8491"
"122","HALLMARK_ADIPOGENESIS","56922"
"123","HALLMARK_ADIPOGENESIS","4191"
"124","HALLMARK_ADIPOGENESIS","4199"
"125","HALLMARK_ADIPOGENESIS","11343"
"126","HALLMARK_ADIPOGENESIS","4259"
"127","HALLMARK_ADIPOGENESIS","84895"
"128","HALLMARK_ADIPOGENESIS","56246"
"129","HALLMARK_ADIPOGENESIS","29088"
"130","HALLMARK_ADIPOGENESIS","54996"
"131","HALLMARK_ADIPOGENESIS","23788"
"132","HALLMARK_ADIPOGENESIS","23788"
"133","HALLMARK_ADIPOGENESIS","4638"
"134","HALLMARK_ADIPOGENESIS","64859"
"135","HALLMARK_ADIPOGENESIS","4698"
"136","HALLMARK_ADIPOGENESIS","4706"
"137","HALLMARK_ADIPOGENESIS","4713"
"138","HALLMARK_ADIPOGENESIS","4722"
"139","HALLMARK_ADIPOGENESIS","4722"
"140","HALLMARK_ADIPOGENESIS","28512"
"141","HALLMARK_ADIPOGENESIS","4836"
"142","HALLMARK_ADIPOGENESIS","4958"
"143","HALLMARK_ADIPOGENESIS","5004"
"144","HALLMARK_ADIPOGENESIS","27250"
"145","HALLMARK_ADIPOGENESIS","10400"
"146","HALLMARK_ADIPOGENESIS","5195"
"147","HALLMARK_ADIPOGENESIS","5209"
"148","HALLMARK_ADIPOGENESIS","5211"
"149","HALLMARK_ADIPOGENESIS","5236"
"150","HALLMARK_ADIPOGENESIS","23187"
"151","HALLMARK_ADIPOGENESIS","5264"
"152","HALLMARK_ADIPOGENESIS","415116"
"153","HALLMARK_ADIPOGENESIS","123"
"154","HALLMARK_ADIPOGENESIS","5447"
"155","HALLMARK_ADIPOGENESIS","5468"
"156","HALLMARK_ADIPOGENESIS","5495"
"157","HALLMARK_ADIPOGENESIS","84919"
"158","HALLMARK_ADIPOGENESIS","10935"
"159","HALLMARK_ADIPOGENESIS","10113"
"160","HALLMARK_ADIPOGENESIS","55037"
"161","HALLMARK_ADIPOGENESIS","5733"
"162","HALLMARK_ADIPOGENESIS","5860"
"163","HALLMARK_ADIPOGENESIS","83871"
"164","HALLMARK_ADIPOGENESIS","7905"
"165","HALLMARK_ADIPOGENESIS","92840"
"166","HALLMARK_ADIPOGENESIS","56729"
"167","HALLMARK_ADIPOGENESIS","54884"
"168","HALLMARK_ADIPOGENESIS","8780"
"169","HALLMARK_ADIPOGENESIS","55177"
"170","HALLMARK_ADIPOGENESIS","26994"
"171","HALLMARK_ADIPOGENESIS","6239"
"172","HALLMARK_ADIPOGENESIS","10313"
"173","HALLMARK_ADIPOGENESIS","25813"
"174","HALLMARK_ADIPOGENESIS","949"
"175","HALLMARK_ADIPOGENESIS","6342"
"176","HALLMARK_ADIPOGENESIS","6390"
"177","HALLMARK_ADIPOGENESIS","6391"
"178","HALLMARK_ADIPOGENESIS","6573"
"179","HALLMARK_ADIPOGENESIS","6510"
"180","HALLMARK_ADIPOGENESIS","6576"
"181","HALLMARK_ADIPOGENESIS","1468"
"182","HALLMARK_ADIPOGENESIS","376497"
"183","HALLMARK_ADIPOGENESIS","8884"
"184","HALLMARK_ADIPOGENESIS","130814"
"185","HALLMARK_ADIPOGENESIS","6623"
"186","HALLMARK_ADIPOGENESIS","6647"
"187","HALLMARK_ADIPOGENESIS","10580"
"188","HALLMARK_ADIPOGENESIS","65124"
"189","HALLMARK_ADIPOGENESIS","8404"
"190","HALLMARK_ADIPOGENESIS","58472"
"191","HALLMARK_ADIPOGENESIS","8082"
"192","HALLMARK_ADIPOGENESIS","6776"
"193","HALLMARK_ADIPOGENESIS","2040"
"194","HALLMARK_ADIPOGENESIS","8802"
"195","HALLMARK_ADIPOGENESIS","6817"
"196","HALLMARK_ADIPOGENESIS","6888"
"197","HALLMARK_ADIPOGENESIS","10010"
"198","HALLMARK_ADIPOGENESIS","7086"
"199","HALLMARK_ADIPOGENESIS","10140"
"200","HALLMARK_ADIPOGENESIS","7263"
"201","HALLMARK_ADIPOGENESIS","7316"
"202","HALLMARK_ADIPOGENESIS","29979"
"203","HALLMARK_ADIPOGENESIS","83549"
"204","HALLMARK_ADIPOGENESIS","7351"
"205","HALLMARK_ADIPOGENESIS","29796"
"206","HALLMARK_ADIPOGENESIS","10975"
"207","HALLMARK_ADIPOGENESIS","7384"
"208","HALLMARK_ADIPOGENESIS","27089"
"209","HALLMARK_ADIPOGENESIS","7423"
"210","HALLMARK_ADIPOGENESIS","7532"
"211","HALLMARK_ALLOGRAFT_REJECTION","16"
"212","HALLMARK_ALLOGRAFT_REJECTION","6059"
"213","HALLMARK_ALLOGRAFT_REJECTION","10006"
"214","HALLMARK_ALLOGRAFT_REJECTION","43"
"215","HALLMARK_ALLOGRAFT_REJECTION","92"
"216","HALLMARK_ALLOGRAFT_REJECTION","207"
"217","HALLMARK_ALLOGRAFT_REJECTION","322"
"218","HALLMARK_ALLOGRAFT_REJECTION","567"
"219","HALLMARK_ALLOGRAFT_REJECTION","567"
"220","HALLMARK_ALLOGRAFT_REJECTION","586"
"221","HALLMARK_ALLOGRAFT_REJECTION","8915"
"222","HALLMARK_ALLOGRAFT_REJECTION","602"
"223","HALLMARK_ALLOGRAFT_REJECTION","672"
"224","HALLMARK_ALLOGRAFT_REJECTION","717"
"225","HALLMARK_ALLOGRAFT_REJECTION","717"
"226","HALLMARK_ALLOGRAFT_REJECTION","717"
"227","HALLMARK_ALLOGRAFT_REJECTION","717"
"228","HALLMARK_ALLOGRAFT_REJECTION","717"
"229","HALLMARK_ALLOGRAFT_REJECTION","717"
"230","HALLMARK_ALLOGRAFT_REJECTION","717"
"231","HALLMARK_ALLOGRAFT_REJECTION","822"
"232","HALLMARK_ALLOGRAFT_REJECTION","9607"
"233","HALLMARK_ALLOGRAFT_REJECTION","6356"
"234","HALLMARK_ALLOGRAFT_REJECTION","6357"
"235","HALLMARK_ALLOGRAFT_REJECTION","6363"
"236","HALLMARK_ALLOGRAFT_REJECTION","6347"
"237","HALLMARK_ALLOGRAFT_REJECTION","6367"
"238","HALLMARK_ALLOGRAFT_REJECTION","6351"
"239","HALLMARK_ALLOGRAFT_REJECTION","6351"
"240","HALLMARK_ALLOGRAFT_REJECTION","6351"
"241","HALLMARK_ALLOGRAFT_REJECTION","6352"
"242","HALLMARK_ALLOGRAFT_REJECTION","6352"
"243","HALLMARK_ALLOGRAFT_REJECTION","6354"
"244","HALLMARK_ALLOGRAFT_REJECTION","894"
"245","HALLMARK_ALLOGRAFT_REJECTION","896"
"246","HALLMARK_ALLOGRAFT_REJECTION","1230"
"247","HALLMARK_ALLOGRAFT_REJECTION","729230"
"248","HALLMARK_ALLOGRAFT_REJECTION","1234"
"249","HALLMARK_ALLOGRAFT_REJECTION","912"
"250","HALLMARK_ALLOGRAFT_REJECTION","914"
"251","HALLMARK_ALLOGRAFT_REJECTION","919"
"252","HALLMARK_ALLOGRAFT_REJECTION","940"
"253","HALLMARK_ALLOGRAFT_REJECTION","915"
"254","HALLMARK_ALLOGRAFT_REJECTION","916"
"255","HALLMARK_ALLOGRAFT_REJECTION","917"
"256","HALLMARK_ALLOGRAFT_REJECTION","920"
"257","HALLMARK_ALLOGRAFT_REJECTION","958"
"258","HALLMARK_ALLOGRAFT_REJECTION","959"
"259","HALLMARK_ALLOGRAFT_REJECTION","961"
"260","HALLMARK_ALLOGRAFT_REJECTION","924"
"261","HALLMARK_ALLOGRAFT_REJECTION","972"
"262","HALLMARK_ALLOGRAFT_REJECTION","973"
"263","HALLMARK_ALLOGRAFT_REJECTION","941"
"264","HALLMARK_ALLOGRAFT_REJECTION","942"
"265","HALLMARK_ALLOGRAFT_REJECTION","925"
"266","HALLMARK_ALLOGRAFT_REJECTION","926"
"267","HALLMARK_ALLOGRAFT_REJECTION","10225"
"268","HALLMARK_ALLOGRAFT_REJECTION","1029"
"269","HALLMARK_ALLOGRAFT_REJECTION","5199"
"270","HALLMARK_ALLOGRAFT_REJECTION","56253"
"271","HALLMARK_ALLOGRAFT_REJECTION","1435"
"272","HALLMARK_ALLOGRAFT_REJECTION","1445"
"273","HALLMARK_ALLOGRAFT_REJECTION","1520"
"274","HALLMARK_ALLOGRAFT_REJECTION","10563"
"275","HALLMARK_ALLOGRAFT_REJECTION","4283"
"276","HALLMARK_ALLOGRAFT_REJECTION","2833"
"277","HALLMARK_ALLOGRAFT_REJECTION","1615"
"278","HALLMARK_ALLOGRAFT_REJECTION","8560"
"279","HALLMARK_ALLOGRAFT_REJECTION","8444"
"280","HALLMARK_ALLOGRAFT_REJECTION","1956"
"281","HALLMARK_ALLOGRAFT_REJECTION","8661"
"282","HALLMARK_ALLOGRAFT_REJECTION","8664"
"283","HALLMARK_ALLOGRAFT_REJECTION","8669"
"284","HALLMARK_ALLOGRAFT_REJECTION","8672"
"285","HALLMARK_ALLOGRAFT_REJECTION","1984"
"286","HALLMARK_ALLOGRAFT_REJECTION","1984"
"287","HALLMARK_ALLOGRAFT_REJECTION","1991"
"288","HALLMARK_ALLOGRAFT_REJECTION","1991"
"289","HALLMARK_ALLOGRAFT_REJECTION","2000"
"290","HALLMARK_ALLOGRAFT_REJECTION","2069"
"291","HALLMARK_ALLOGRAFT_REJECTION","2113"
"292","HALLMARK_ALLOGRAFT_REJECTION","2147"
"293","HALLMARK_ALLOGRAFT_REJECTION","2149"
"294","HALLMARK_ALLOGRAFT_REJECTION","355"
"295","HALLMARK_ALLOGRAFT_REJECTION","356"
"296","HALLMARK_ALLOGRAFT_REJECTION","2213"
"297","HALLMARK_ALLOGRAFT_REJECTION","2268"
"298","HALLMARK_ALLOGRAFT_REJECTION","2316"
"299","HALLMARK_ALLOGRAFT_REJECTION","2533"
"300","HALLMARK_ALLOGRAFT_REJECTION","2589"
"301","HALLMARK_ALLOGRAFT_REJECTION","2634"
"302","HALLMARK_ALLOGRAFT_REJECTION","2650"
"303","HALLMARK_ALLOGRAFT_REJECTION","11146"
"304","HALLMARK_ALLOGRAFT_REJECTION","8477"
"305","HALLMARK_ALLOGRAFT_REJECTION","3001"
"306","HALLMARK_ALLOGRAFT_REJECTION","3002"
"307","HALLMARK_ALLOGRAFT_REJECTION","3059"
"308","HALLMARK_ALLOGRAFT_REJECTION","9734"
"309","HALLMARK_ALLOGRAFT_REJECTION","3091"
"310","HALLMARK_ALLOGRAFT_REJECTION","3105"
"311","HALLMARK_ALLOGRAFT_REJECTION","3105"
