"","term","gene"
"59","aDC%IRIS%2.txt12","C3AR1"
"60","aDC%IRIS%2.txt13","CASP5"
"61","aDC%IRIS%2.txt14","CD80"
"62","aDC%IRIS%2.txt15","CD86"
"63","aDC%IRIS%2.txt16","CCR5"
"64","aDC%IRIS%2.txt17","CMKLR1"
"65","aDC%IRIS%2.txt18","EIF5"
"66","aDC%IRIS%2.txt19","ENO1"
"67","aDC%IRIS%2.txt20","ETV3"
"68","aDC%IRIS%2.txt21","FCER1G"
"69","aDC%IRIS%2.txt22","FCER2"
"70","aDC%IRIS%2.txt23","FPR3"
"71","aDC%IRIS%2.txt24","GMFB"
"72","aDC%IRIS%2.txt25","GNG5"
"73","aDC%IRIS%2.txt26","GRB2"
"74","aDC%IRIS%2.txt27","RAPGEF1"
"75","aDC%IRIS%2.txt28","HCK"
"76","aDC%IRIS%2.txt29","HLA-DQA1"
"77","aDC%IRIS%2.txt30","HRH2"
"78","aDC%IRIS%2.txt31","DNAJA1"
"79","aDC%IRIS%2.txt32","IL2RA"
"80","aDC%IRIS%2.txt33","IL3RA"
"81","aDC%IRIS%2.txt34","IL9"
"82","aDC%IRIS%2.txt35","IL10"
"83","aDC%IRIS%2.txt36","IL10RA"
"84","aDC%IRIS%2.txt37","IL12B"
"85","aDC%IRIS%2.txt38","IMPDH1"
"86","aDC%IRIS%2.txt39","IRF4"
"87","aDC%IRIS%2.txt40","KCNMB1"
"88","aDC%IRIS%2.txt41","LAIR1"
"89","aDC%IRIS%2.txt42","LOR"
"90","aDC%IRIS%2.txt43","RAB8A"
"91","aDC%IRIS%2.txt44","CXCL9"
"92","aDC%IRIS%2.txt45","MTF1"
"93","aDC%IRIS%2.txt46","NFE2L2"
"94","aDC%IRIS%2.txt47","NFKB1"
"95","aDC%IRIS%2.txt48","NFKBIB"
"96","aDC%IRIS%2.txt49","NRAS"
"97","aDC%IRIS%2.txt50","OSM"
"98","aDC%IRIS%2.txt51","P2RX7"
"99","aDC%IRIS%2.txt52","PAK2"
"100","aDC%IRIS%2.txt53","PGK1"
"101","aDC%IRIS%2.txt54","PITPNA"
"102","aDC%IRIS%2.txt55","MAP2K1"
"103","aDC%IRIS%2.txt56","PTGIR"
"104","aDC%IRIS%2.txt57","RAB5A"
"105","aDC%IRIS%2.txt58","RELA"
"106","aDC%IRIS%2.txt59","CLIP1"
"107","aDC%IRIS%2.txt60","S100A10"
"108","aDC%IRIS%2.txt61","CCL1"
"109","aDC%IRIS%2.txt62","CCL4"
"110","aDC%IRIS%2.txt63","CCL7"
"111","aDC%IRIS%2.txt64","CCL8"
"112","aDC%IRIS%2.txt65","CCL17"
"113","aDC%IRIS%2.txt66","CCL18"
"114","aDC%IRIS%2.txt67","CCL19"
"115","aDC%IRIS%2.txt68","CCL22"
"116","aDC%IRIS%2.txt69","CCL23"
"117","aDC%IRIS%2.txt70","CCL24"
"118","aDC%IRIS%2.txt71","SLAMF1"
"119","aDC%IRIS%2.txt72","SLC1A2"
"120","aDC%IRIS%2.txt73","SLC6A12"
"121","aDC%IRIS%2.txt74","SIGLEC1"
"122","aDC%IRIS%2.txt75","SRC"
"123","aDC%IRIS%2.txt76","STAT2"
"124","aDC%IRIS%2.txt77","TCF21"
"125","aDC%IRIS%2.txt78","DYNLT1"
"126","aDC%IRIS%2.txt79","TPI1"
"127","aDC%IRIS%2.txt80","TRAF1"
"128","aDC%IRIS%2.txt81","TNFRSF4"
"129","aDC%IRIS%2.txt82","TXN"
"130","aDC%IRIS%2.txt83","VRK2"
"131","aDC%IRIS%2.txt84","XPNPEP1"
"132","aDC%IRIS%2.txt85","ZBTB17"
"133","aDC%IRIS%2.txt86","CUL1"
"134","aDC%IRIS%2.txt87","RRP1"
"135","aDC%IRIS%2.txt88","SCARF1"
"136","aDC%IRIS%2.txt89","ALDH1A2"
"137","aDC%IRIS%2.txt90","TAX1BP1"
"138","aDC%IRIS%2.txt91","SOCS3"
"139","aDC%IRIS%2.txt92","SPAG9"
"140","aDC%IRIS%2.txt93","TMSB10"
"141","aDC%IRIS%2.txt94","MAP3K13"
"142","aDC%IRIS%2.txt95","TRIP4"
"143","aDC%IRIS%2.txt96","H6PD"
"144","aDC%IRIS%2.txt97","WTAP"
"145","aDC%IRIS%2.txt98","ARHGEF11"
"146","aDC%IRIS%2.txt99","TMCC2"
"147","aDC%IRIS%2.txt100","HS3ST3B1"
"148","aDC%IRIS%2.txt101","ABI1"
"149","aDC%IRIS%2.txt102","BCL2L11"
"150","aDC%IRIS%2.txt103","ARPC4"
"151","aDC%IRIS%2.txt104","ARFRP1"
"152","aDC%IRIS%2.txt105","RAMP3"
"153","aDC%IRIS%2.txt106","LILRB2"
"154","aDC%IRIS%2.txt107","BCKDK"
"155","aDC%IRIS%2.txt108","CXCL13"
"156","aDC%IRIS%2.txt109","EXOC5"
