,b cell,endothelial cell,epithelial cell,fibroblast,macrophage,nk cell,pericyte cell,smooth muscle,t cell
GTEX-14PJ6-1526,-3.402398835484982,1.5330166154545402,-0.3572790515592965,2.4882285951456278,-0.041137709265318984,-1.6823306932263404,-2.8456757189588577,3.231473842089107,1.0761029558055206
GTEX-14PJM-2826,-3.1277414918486284,1.760968915487989,-0.5643254123900056,2.429033925800996,-0.05914216451663478,-3.1277414918486284,-3.1277414918486284,3.482077508912662,2.334611702250877
GTEX-14PKU-1426,-2.9296101910570727,2.1018666211204144,-0.9155562607054861,2.6597078954387716,0.31874677003048946,-2.9296101910570727,-2.929610191057072,3.909625776677222,0.7144397706098058
GTEX-14PKV-1426,-2.9634983982120224,2.0613301635840613,-1.1570316487760044,2.7709196723806353,0.4579722290405707,-2.9634983982120224,-2.9634983982120224,3.806680513629544,0.950624264777261
GTEX-14PN3-1726,-3.525252111644976,1.684133268529075,-0.40739726038970664,2.1852677582000926,-0.20434572618278443,-1.927615780819412,-2.2638936586666905,3.0480768539318412,1.411026657042561
GTEX-15DCD-2226,-3.60864379968733,1.6711440900376102,-0.2971854218228034,2.254701110804274,-0.06008967713420769,-1.9593398848641814,-2.520990258567005,2.66993963068976,1.8504642105438796
GTEX-15DZA-1326,-3.45626982495553,1.458368653188728,0.6006960785888765,2.944772144233934,0.04063364979739377,-2.232969699205293,-3.456269824955529,2.5624753320103815,1.5385634912970354
GTEX-15ER7-2426,-3.5201655497111632,1.5855053400028276,-0.9807047077919205,2.5264321612211598,-0.05895958262255174,-2.046639425623293,-1.420199852982301,2.9904658940066007,0.9242657235006395
GTEX-15FZZ-1026,-3.0349510442102487,1.8966370649847577,-0.9613479043680765,2.700976681729762,0.8376373849747553,-3.0349510442102487,-3.0349510442102487,3.7229431956564922,0.9080067096530566
GTEX-15SHU-2826,-3.726294503200911,1.5471599174592643,-0.37275685820972465,1.901628129322981,-0.5233172050249548,-1.3015228887490746,-1.7261116554673666,2.790694306200282,1.410520757669504
GTEX-16A39-0726,-2.9956811647994352,1.603406142386782,-1.363056932457772,3.170971504597321,0.6836091544512213,-2.9956811647994352,-2.9956811647994352,3.582550351907847,1.309563273512908
GTEX-16MT8-2326,-3.2483336785466257,1.879679365737058,-0.3900756721610711,2.5217576063125198,0.07959763107213304,-2.2080366148059363,-3.2483336785466257,3.4183723361758074,1.1953727047627383
GTEX-16NGA-0626,-3.230521555164158,1.9387846983255643,-0.6974185957858962,2.654954412909645,0.2602117266997631,-2.0291584791989283,-3.063005186852905,3.4180979696055402,0.7480550094613759
GTEX-16NPV-2226,-1.882603123768124,1.4799452731315652,-0.708354769555088,1.648407843449709,-0.7685674512947136,-1.9796465998115853,-1.2473161351287154,2.372648357589113,1.0854866053878403
GTEX-1A32A-2826,-3.3439419491893454,2.1032863360345684,-0.9342002329369795,2.2085597733193976,-0.5151357949811863,-2.5489363383379957,-1.785727357752737,3.2711267951352836,1.5449687687089944
GTEX-1A8FM-2326,-2.3874161466440156,1.0117461701398232,-0.23173163882239536,2.0926303566505564,-1.1180841130362618,-1.0673325144123682,-1.6514981734643874,2.116492263065736,1.2351937965233108
GTEX-1AMEY-0626,-2.919630990253984,2.301703845251695,-0.8471794203621714,2.6122015189873045,0.2672441617214899,-2.919630990253984,-2.919630990253984,3.9089666547911346,0.5159562103724994
GTEX-1B932-2726,-3.7148080585217924,1.7048673222498543,-0.40860640101390394,2.402935911517698,-0.28615479740285144,-2.0923653998563654,-1.2772199426363902,2.5044918025473284,1.1668595631164214
GTEX-1B97J-0226,-2.8751247192443814,2.077988357023416,-1.1534527811113646,2.676528563034591,0.9270854974456498,-2.8751247192443814,-2.8751247192443814,3.9912264374620796,0.1059980838787702
GTEX-1C475-0626,-2.999342959576685,2.331755062512614,-1.0317040536654456,2.584999898335434,0.6825343623401458,-2.999342959576685,-2.999342959576686,3.755343662835917,0.6750999463713871
GTEX-1CB4H-2726,-3.677070051787603,2.2262038267700595,-0.38147966937851163,1.8365942358153442,0.036293403115733446,-2.170526646888259,-1.9046600355062686,2.5862339980379847,1.4484109398215186
GTEX-1GF9U-1826,-3.3027543654250753,2.0418990280630527,-0.39671049983383405,2.243110771988821,0.09695139428346004,-2.700438566659245,-2.5867357739408483,3.377616569674796,1.2270614418488723
GTEX-1GMR8-2426,-3.0348677563340503,1.49990039570152,-0.41155209114334257,1.8859326546511588,-0.6123954567677294,-1.126273134513277,-2.064187001780085,2.4258429118466274,1.4375994783391768
GTEX-1GN1U-2526,-3.3789856999403347,1.9754799996667582,-0.3994223224672797,2.4925386892411265,-0.17452932177814168,-1.9812517018281466,-2.7468610989793567,3.176639325003312,1.0363921310820605
