"Donor","organ","measurement"
"Donor759","Vagina",0.441207778672833
"Donor760","Ovary",0.101465171331669
"Donor761","Uterus",0.192315792257432
"Donor762","Vagina",NA
"Donor763","Ovary",0.610822111190785
"Donor764","Uterus",0.649803101906882
"Donor765","Vagina",0.762315904023126
"Donor766","Ovary",0.720863029360771
"Donor767","Uterus",0.972072593190453
"Donor768","Vagina",0.854706319323344
"Donor769","Ovary",0.448265890956723
"Donor770","Uterus",0.341557766081464
"Donor771","Vagina",0.395950654307891
"Donor772","Ovary",0.717235504504707
"Donor773","Uterus",0.858284480571747
"Donor774","Vagina",0.334603400429576
"Donor775","Ovary",NA
"Donor776","Uterus",NA
"Donor777","Vagina",0.466769339713517
"Donor778","Ovary",0.26427772651888
"Donor779","Uterus",NA
"Donor780","Vagina",0.379492227471848
"Donor781","Ovary",0.528669511675835
"Donor782","Uterus",0.496195200892786
"Donor783","Vagina",0.73753489053718
"Donor784","Ovary",0.323393583971275
"Donor785","Uterus",0.105041340838652
"Donor786","Vagina",0.386122866835649
"Donor787","Ovary",0.878945395946503
"Donor788","Uterus",0.93011249257968
"Donor789","Vagina",0.945135775953531
"Donor790","Ovary",NA
"Donor791","Uterus",0.837863193316893
"Donor792","Vagina",0.846152316305067
"Donor793","Ovary",0.593658026928703
"Donor794","Uterus",0.256799807061018
"Donor795","Vagina",0.293593452761483
"Donor796","Ovary",0.691756733439185
"Donor797","Uterus",0.885548658230725
"Donor798","Vagina",0.901184194656306
"Donor799","Ovary",NA
"Donor800","Uterus",NA
"Donor801","Vagina",0.82906480994204
"Donor802","Ovary",NA
"Donor803","Uterus",NA
"Donor804","Vagina",0.628649048271978
"Donor805","Ovary",0.785745279961511
"Donor806","Uterus",0.992041574584113
"Donor807","Vagina",0.694400973587362
"Donor808","Ovary",0.0990384507070606
"Donor809","Uterus",0.0287070769309139
"Donor810","Vagina",0.115255453257381
"Donor811","Ovary",0.564953600024355
"Donor812","Uterus",0.474384105205536
"Donor813","Vagina",NA
"Donor814","Ovary",0.140585175184159
"Donor815","Uterus",0.119533869902888
"Donor816","Vagina",0.366625618621603
"Donor817","Ovary",0.643771178192563
"Donor818","Uterus",0.776338115822346
"Donor819","Vagina",0.609591860139201
"Donor820","Ovary",NA
"Donor821","Uterus",NA
"Donor822","Vagina",0.773641071967123
"Donor823","Ovary",0.5021094587735
"Donor824","Uterus",0.950423907292517
"Donor825","Vagina",0.473640407915368
"Donor826","Ovary",0.748367711901665
"Donor827","Uterus",NA
"Donor828","Vagina",0.813175051650974
"Donor829","Ovary",NA
"Donor830","Uterus",NA
"Donor831","Vagina",0.84432127580724
"Donor832","Ovary",0.351837910468812
"Donor833","Uterus",0.347175259642037
"Donor834","Vagina",0.432053272062192
"Donor835","Ovary",0.913569616774718
"Donor836","Uterus",NA
"Donor837","Vagina",NA
"Donor838","Ovary",0.710345464448134
"Donor839","Uterus",0.763040791216649
"Donor840","Vagina",0.830627176218328
"Donor841","Ovary",0.256068472896004
"Donor842","Uterus",0.0246147569854946
"Donor843","Vagina",0.456567250324901
"Donor844","Ovary",0.817562985544403
"Donor845","Uterus",0.655414656356529
"Donor846","Vagina",0.916425183415413
"Donor847","Ovary",0.683594817894378
"Donor848","Uterus",NA
"Donor849","Vagina",0.591405856552312
