"Donor","organ","measurement"
"Donor226","Ovary",0.78292217301695
"Donor227","Uterus",NA
"Donor228","Vagina",NA
"Donor229","Ovary",NA
"Donor230","Uterus",0.926565534621477
"Donor231","Vagina",NA
"Donor232","Ovary",0.914122937454118
"Donor233","Uterus",0.852868843961645
"Donor234","Vagina",0.886519417580631
"Donor235","Ovary",0.303381421470216
"Donor236","Uterus",0.0919015412102453
"Donor237","Vagina",0.545233926930746
"Donor238","Ovary",0.875950238921426
"Donor239","Uterus",0.724040039948055
"Donor240","Vagina",0.799912618726124
"Donor241","Ovary",0.942090901044699
"Donor242","Uterus",0.965929668683272
"Donor243","Vagina",0.855602966300372
"Donor244","Ovary",NA
"Donor245","Uterus",0.575503659649537
"Donor246","Vagina",0.555711856154002
"Donor247","Ovary",0.0877727752708254
"Donor248","Uterus",0.0196504211984864
"Donor249","Vagina",NA
"Donor250","Ovary",0.333536020754015
"Donor251","Uterus",0.14090481817926
"Donor252","Vagina",0.299812880169813
"Donor253","Ovary",0.524387670737324
"Donor254","Uterus",NA
"Donor255","Vagina",0.436428598007043
"Donor256","Ovary",0.165196552999092
"Donor257","Uterus",0.149683925186701
"Donor258","Vagina",NA
"Donor259","Ovary",NA
"Donor260","Uterus",NA
"Donor261","Vagina",0.433299801047306
"Donor262","Ovary",0.697586502879858
"Donor263","Uterus",NA
"Donor264","Vagina",0.44977932732668
"Donor265","Ovary",0.577238119531261
"Donor266","Uterus",0.831442058086395
"Donor267","Vagina",0.759973010891362
"Donor268","Ovary",0.86159677306811
"Donor269","Uterus",NA
"Donor270","Vagina",0.906303449134741
"Donor271","Ovary",NA
"Donor272","Uterus",0.369143311732582
"Donor273","Vagina",0.163452132362174
"Donor274","Ovary",0.872895895080133
"Donor275","Uterus",0.951559901237488
"Donor276","Vagina",0.87899184559495
"Donor277","Ovary",NA
"Donor278","Uterus",NA
"Donor279","Vagina",0.988046982984864
"Donor280","Ovary",0.441502134648285
"Donor281","Uterus",0.10778821042644
"Donor282","Vagina",0.386769268362734
"Donor283","Ovary",0.948275651782751
"Donor284","Uterus",0.665473916464382
"Donor285","Vagina",0.82936655827845
"Donor286","Ovary",0.848804097175598
"Donor287","Uterus",0.704102306530393
"Donor288","Vagina",0.911266594686929
"Donor289","Ovary",0.393925855692942
"Donor290","Uterus",0.752259819131148
"Donor291","Vagina",0.72688904908452
"Donor292","Ovary",0.796676999330521
"Donor293","Uterus",0.898337549840411
"Donor294","Vagina",0.9133619091577
"Donor295","Ovary",0.944196224212646
"Donor296","Uterus",0.878052552541097
"Donor297","Vagina",0.918263770102595
"Donor298","Ovary",0.471170187780732
"Donor299","Uterus",0.688107111904008
"Donor300","Vagina",0.367255691047601
"Donor301","Ovary",0.2320603400551
"Donor302","Uterus",0.0247950554359704
"Donor303","Vagina",0.170798921262131
"Donor304","Ovary",0.870114788413048
"Donor305","Uterus",0.958394700288773
"Donor306","Vagina",0.831968302588637
"Donor307","Ovary",0.650884086798344
"Donor308","Uterus",0.751649576239288
"Donor309","Vagina",0.833324989421411
"Donor310","Ovary",0.879321649074554
"Donor311","Uterus",0.956551456451416
"Donor312","Vagina",0.866450299764728
"Donor313","Ovary",0.973534870147705
"Donor314","Uterus",0.811996569658848
"Donor315","Vagina",0.89385644148116
"Donor316","Ovary",0.0905439807281185
"Donor317","Uterus",0.0694476697615094
"Donor318","Vagina",0.453315973214462
"Donor319","Ovary",0.730012395977974
"Donor320","Uterus",0.170673908914482
"Donor321","Vagina",0.323086877591693
"Donor322","Ovary",0.728112896283468
"Donor323","Uterus",0.693006769459891
"Donor324","Vagina",0.679807186942924
"Donor325","Ovary",0.849458686683489
"Donor326","Uterus",NA
"Donor327","Vagina",0.805222798903019
"Donor328","Ovary",NA
"Donor329","Uterus",0.292407109046026
"Donor330","Vagina",NA
"Donor331","Ovary",0.0910871513110846
"Donor332","Uterus",0.0141970514778839
"Donor333","Vagina",0.451370598773559
"Donor334","Ovary",0.226321973279923
"Donor335","Uterus",0.0179690347439776
"Donor336","Vagina",0.496341558003967
"Donor337","Ovary",0.715616557747126
"Donor338","Uterus",0.142709063313237
"Donor339","Vagina",NA
"Donor340","Ovary",0.846087230877443
"Donor341","Uterus",0.859950206496499
"Donor342","Vagina",0.938979293193136
"Donor343","Ovary",0.921565843665082
"Donor344","Uterus",0.703828599769622
"Donor345","Vagina",0.8680670504103
"Donor346","Ovary",0.656476681586355
"Donor347","Uterus",0.698996822039286
"Donor348","Vagina",0.75887314013288
"Donor349","Ovary",0.909172805456015
"Donor350","Uterus",0.802777302052293
"Donor351","Vagina",NA
"Donor352","Ovary",0.484867854439653
"Donor353","Uterus",0.439612687942617
"Donor354","Vagina",0.433585373185215
"Donor355","Ovary",0.915952074116674
"Donor356","Uterus",0.876028093007895
"Donor357","Vagina",0.937629941657737
"Donor358","Ovary",0.893015701037187
"Donor359","Uterus",0.937110792707514
"Donor360","Vagina",0.947822850326012
"Donor361","Ovary",0.856168005863825
"Donor362","Uterus",NA
"Donor363","Vagina",0.928012960380123
"Donor364","Ovary",NA
"Donor365","Uterus",0.0490796211031141
"Donor366","Vagina",0.492599065947746
"Donor367","Ovary",0.697891647492846
"Donor368","Uterus",NA
"Donor369","Vagina",0.581830549167695
"Donor370","Ovary",0.734627199800391
"Donor371","Uterus",0.873547321983746
"Donor372","Vagina",0.879834960256003
"Donor373","Ovary",0.616718593807448
"Donor374","Uterus",0.183462733983659
"Donor375","Vagina",0.556269590555824
"Donor376","Ovary",0.612495624061142
"Donor377","Uterus",0.602008315069335
"Donor378","Vagina",0.697356391232461
"Donor379","Ovary",NA
"Donor380","Uterus",0.0121732184777232
"Donor381","Vagina",NA
"Donor382","Ovary",0.559260734489986
"Donor383","Uterus",0.202597655958253
"Donor384","Vagina",0.826835129453855
"Donor385","Ovary",0.844612191120783
"Donor386","Uterus",0.697712705216625
"Donor387","Vagina",0.911134728013653
"Donor388","Ovary",0.866563706486313
"Donor389","Uterus",NA
"Donor390","Vagina",0.779102510302374
"Donor391","Ovary",0.858296760806331
"Donor392","Uterus",0.815660893917084
"Donor393","Vagina",0.835042463132629
"Donor394","Ovary",0.505364814428268
"Donor395","Uterus",0.221096747107087
"Donor396","Vagina",0.721713180181963
"Donor397","Ovary",NA
"Donor398","Uterus",NA
"Donor399","Vagina",0.915047685889637
"Donor400","Ovary",0.806933012875644
"Donor401","Uterus",0.830483374851091
"Donor402","Vagina",0.755036665491395
"Donor403","Ovary",0.918190938234329
"Donor404","Uterus",NA
"Donor405","Vagina",0.953231062346358
"Donor406","Ovary",0.717551811142488
"Donor407","Uterus",0.436135970118984
"Donor408","Vagina",0.41014665280818
"Donor409","Ovary",0.705256330616334
"Donor410","Uterus",NA
"Donor411","Vagina",0.794087681372664
"Donor412","Ovary",0.715451480075717
"Donor413","Uterus",0.0619070339055421
"Donor414","Vagina",0.333982604720137
"Donor415","Ovary",0.941686204501561
"Donor416","Uterus",0.859383557524
"Donor417","Vagina",0.853523447178304
"Donor418","Ovary",NA
"Donor419","Uterus",NA
"Donor420","Vagina",0.790492646128329
"Donor421","Ovary",0.470573162438259
"Donor422","Uterus",0.901676146313548
"Donor423","Vagina",0.553395884756914
"Donor424","Ovary",0.938924091703751
"Donor425","Uterus",0.970036419955167
"Donor426","Vagina",0.756827990381973
"Donor427","Ovary",0.526572924250594
"Donor428","Uterus",NA
"Donor429","Vagina",NA
"Donor430","Ovary",0.636101616450991
"Donor431","Uterus",0.703362095355988
"Donor432","Vagina",0.710167480381366
"Donor433","Ovary",0.920256194472313
"Donor434","Uterus",NA
"Donor435","Vagina",0.74028792959012
"Donor436","Ovary",0.491218685765158
"Donor437","Uterus",0.187390448746737
"Donor438","Vagina",0.733221522066742
"Donor439","Ovary",0.319221968116381
"Donor440","Uterus",0.00727356169372797
"Donor441","Vagina",0.180642125567101
"Donor442","Ovary",0.789438188076019
"Donor443","Uterus",0.552179048110827
"Donor444","Vagina",0.704238922468556
"Donor445","Ovary",NA
"Donor446","Uterus",NA
"Donor447","Vagina",0.63628084263054
"Donor448","Ovary",0.886652473073739
"Donor449","Uterus",NA
"Donor450","Vagina",0.903469290782129
"Donor451","Ovary",0.872123833964853
"Donor452","Uterus",0.881571461446583
"Donor453","Vagina",0.855867476455423
"Donor454","Ovary",0.977848393221696
"Donor455","Uterus",NA
"Donor456","Vagina",0.884089183676796
"Donor457","Ovary",NA
"Donor458","Uterus",NA
"Donor459","Vagina",0.771396236204439
"Donor460","Ovary",0.737689686673028
"Donor461","Uterus",0.949356268953394
"Donor462","Vagina",0.900894714519382
"Donor463","Ovary",0.175948454658143
"Donor464","Uterus",0.105105593504215
"Donor465","Vagina",0.182889036557194
"Donor466","Ovary",0.597021398636011
"Donor467","Uterus",0.28621489495039
"Donor468","Vagina",0.613181452726639
"Donor469","Ovary",0.62041005805919
"Donor470","Uterus",0.475031818652305
"Donor471","Vagina",NA
"Donor472","Ovary",0.587497302039992
"Donor473","Uterus",0.523595572131771
"Donor474","Vagina",0.402483306794516
"Donor475","Ovary",NA
"Donor476","Uterus",0.0987980568882179
"Donor477","Vagina",0.650394780866051
"Donor478","Ovary",0.611172522026065
"Donor479","Uterus",0.571671253829091
"Donor480","Vagina",0.609022844382484
"Donor481","Ovary",0.694080240196652
"Donor482","Uterus",NA
"Donor483","Vagina",0.652277310729418
"Donor484","Ovary",0.361095057928072
"Donor485","Uterus",0.220564068744848
"Donor486","Vagina",0.442744812691964
"Donor487","Ovary",0.581898198256062
"Donor488","Uterus",0.161869921009722
"Donor489","Vagina",0.32896736286073
"Donor490","Ovary",0.0660571540527222
"Donor491","Uterus",0.0126227900826572
"Donor492","Vagina",0.0747868535439579
"Donor493","Ovary",0.160140159074217
"Donor494","Uterus",0.674105221778154
"Donor495","Vagina",0.264320647696224
"Donor496","Ovary",0.10700002941212
"Donor497","Uterus",0.064606349303299
"Donor498","Vagina",0.0585151256000245
"Donor499","Ovary",0.176086420732706
